category,Users,Volume,Transactions
1587081600000,161,161,161
1586995200000,179,179,179
1586908800000,149,149,149
1586822400000,168,168,168
1586736000000,150,150,150
1586649600000,163,163,163
1586563200000,164,164,164
1586476800000,163,163,163
1586390400000,172,172,172
1586304000000,142,142,142
1586217600000,185,185,185
1586131200000,154,154,154
1586044800000,130,130,130
1585958400000,116,116,116
1585872000000,203,203,203
1585785600000,158,158,158
1585699200000,132,132,132
1585612800000,171,171,171
1585526400000,144,144,144
1585440000000,127,127,127
1585353600000,116,116,116
1585267200000,173,173,173
1585180800000,113,113,113
1585094400000,109,109,109
1585008000000,133,133,133
1584921600000,148,148,148
1584835200000,125,125,125
1584748800000,117,117,117
1584662400000,136,136,136
1584576000000,133,133,133
1584489600000,156,156,156
1584403200000,125,125,125
1584316800000,91,91,91
1584230400000,103,103,103
1584144000000,142,142,142
1584057600000,103,103,103
1583971200000,51,51,51
1583884800000,172,172,172
1583798400000,165,165,165
1583712000000,143,143,143
1583625600000,122,122,122
1583539200000,159,159,159
1583452800000,149,149,149
1583366400000,129,129,129
1583280000000,148,148,148
1583193600000,156,156,156
1583107200000,157,157,157
1583020800000,151,151,151
1582934400000,139,139,139
1582848000000,159,159,159
1582761600000,152,152,152
1582675200000,137,137,137
1582588800000,152,152,152
1582502400000,147,147,147
1582416000000,153,153,153
1582329600000,135,135,135
1582243200000,133,133,133
1582156800000,143,143,143
1582070400000,153,153,153
1581984000000,161,161,161
1581897600000,146,146,146
1581811200000,145,145,145
1581724800000,121,121,121
1581638400000,131,131,131
1581552000000,117,117,117
1581465600000,126,126,126
1581379200000,143,143,143
1581292800000,128,128,128
1581206400000,114,114,114
1581120000000,155,155,155
1581033600000,139,139,139
1580947200000,139,139,139
1580860800000,194,194,194
1580774400000,164,164,164
1580688000000,206,206,206
1580601600000,192,192,192
1580515200000,190,190,190
1580428800000,217,217,217
1580342400000,214,214,214
1580256000000,201,201,201
1580169600000,187,187,187
1580083200000,221,221,221
1579996800000,213,213,213
1579910400000,213,213,213
1579824000000,203,203,203
1579737600000,230,230,230
1579651200000,196,196,196
1579564800000,199,199,199
1579478400000,209,209,209
1579392000000,201,201,201
1579305600000,162,162,162
1579219200000,175,175,175
1579132800000,167,167,167
1579046400000,181,181,181
1578960000000,155,155,155
1578873600000,151,151,151
1578787200000,152,152,152
1578700800000,131,131,131
1578614400000,154,154,154
1578528000000,133,133,133
1578441600000,112,112,112
1578355200000,136,136,136
1578268800000,140,140,140
1578182400000,129,129,129
1578096000000,123,123,123
1578009600000,138,138,138
1577923200000,159,159,159
1577836800000,120,120,120
1577750400000,115,115,115
1577664000000,120,120,120
1577577600000,126,126,126
1577491200000,128,128,128
1577404800000,143,143,143
1577318400000,112,112,112
1577232000000,118,118,118
1577145600000,152,152,152
1577059200000,128,128,128
1576972800000,147,147,147
1576886400000,144,144,144
1576800000000,111,111,111
1576713600000,148,148,148
1576627200000,159,159,159
1576540800000,135,135,135
1576454400000,134,134,134
1576368000000,125,125,125
1576281600000,131,131,131
1576195200000,124,124,124
1576108800000,134,134,134
1576022400000,147,147,147
1575936000000,154,154,154
1575849600000,147,147,147
1575763200000,125,125,125
1575676800000,131,131,131
1575590400000,138,138,138
1575504000000,130,130,130
1575417600000,135,135,135
1575331200000,139,139,139
1575244800000,131,131,131
1575158400000,128,128,128
1575072000000,116,116,116
1574985600000,127,127,127
1574899200000,122,122,122
1574812800000,133,133,133
1574726400000,147,147,147
1574640000000,122,122,122
1574553600000,140,140,140
1574467200000,135,135,135
1574380800000,128,128,128
1574294400000,148,148,148
1574208000000,144,144,144
1574121600000,140,140,140
1574035200000,148,148,148
1573948800000,147,147,147
1573862400000,139,139,139
1573776000000,137,137,137
1573689600000,137,137,137
1573603200000,147,147,147
1573516800000,138,138,138
1573430400000,138,138,138
1573344000000,146,146,146
1573257600000,146,146,146
1573171200000,146,146,146
1573084800000,129,129,129
1572998400000,134,134,134
1572912000000,137,137,137
1572825600000,138,138,138
1572739200000,127,127,127
1572652800000,132,132,132
1572566400000,118,118,118
1572480000000,132,132,132
1572393600000,119,119,119
1572307200000,120,120,120
1572220800000,132,132,132
1572134400000,109,109,109
1572048000000,116,116,116
1571961600000,123,123,123
1571875200000,115,115,115
1571788800000,115,115,115
1571702400000,124,124,124
1571616000000,141,141,141
1571529600000,121,121,121
1571443200000,116,116,116
1571356800000,133,133,133
1571270400000,125,125,125
1571184000000,115,115,115
1571097600000,126,126,126
1571011200000,120,120,120
1570924800000,112,112,112
1570838400000,113,113,113
1570752000000,115,115,115
1570665600000,126,126,126
1570579200000,110,110,110
1570492800000,122,122,122
1570406400000,124,124,124
1570320000000,103,103,103
1570233600000,114,114,114
1570147200000,115,115,115
1570060800000,109,109,109
1569974400000,113,113,113
1569888000000,129,129,129
1569801600000,107,107,107
1569715200000,76,76,76
1569628800000,84,84,84
1569542400000,62,62,62
1569456000000,68,68,68
1569369600000,64,64,64
1569283200000,58,58,58
1569196800000,69,69,69
1569110400000,106,106,106
1569024000000,99,99,99
1568937600000,73,73,73
1568851200000,63,63,63
1568764800000,71,71,71
1568678400000,67,67,67
1568592000000,57,57,57
1568505600000,81,81,81
1568419200000,64,64,64
1568332800000,73,73,73
1568246400000,80,80,80
1568160000000,63,63,63
1568073600000,46,46,46
1567987200000,67,67,67
1567900800000,86,86,86
1567814400000,91,91,91
1567728000000,105,105,105
1567641600000,102,102,102
1567555200000,137,137,137
1567468800000,135,135,135
1567382400000,147,147,147
1567296000000,143,143,143
1567209600000,146,146,146
1567123200000,153,153,153
1567036800000,146,146,146
1566950400000,148,148,148
1566864000000,161,161,161
1566777600000,129,129,129
1566691200000,148,148,148
1566604800000,149,149,149
1566518400000,143,143,143
1566432000000,137,137,137
1566345600000,141,141,141
1566259200000,144,144,144
1566172800000,150,150,150
1566086400000,166,166,166
1566000000000,153,153,153
1565913600000,142,142,142
1565827200000,156,156,156
1565740800000,164,164,164
1565654400000,144,144,144
1565568000000,158,158,158
1565481600000,149,149,149
1565395200000,148,148,148
1565308800000,160,160,160
1565222400000,136,136,136
1565136000000,129,129,129
1565049600000,129,129,129
1564963200000,134,134,134
1564876800000,134,134,134
1564790400000,125,125,125
1564704000000,130,130,130
1564617600000,125,125,125
1564531200000,135,135,135
1564444800000,126,126,126
1564358400000,154,154,154
1564272000000,132,132,132
1564185600000,139,139,139
1564099200000,150,150,150
1564012800000,132,132,132
1563926400000,127,127,127
1563840000000,161,161,161
1563753600000,139,139,139
1563667200000,144,144,144
1563580800000,142,142,142
1563494400000,134,134,134
1563408000000,158,158,158
1563321600000,156,156,156
1563235200000,62,62,62
1563148800000,153,153,153
1563062400000,151,151,151
1562976000000,148,148,148
1562889600000,164,164,164
1562803200000,136,136,136
1562716800000,158,158,158
1562630400000,153,153,153
1562544000000,141,141,141
1562457600000,156,156,156
1562371200000,127,127,127
1562284800000,137,137,137
1562198400000,145,145,145
1562112000000,161,161,161
1562025600000,129,129,129
1561939200000,134,134,134
1561852800000,157,157,157
1561766400000,169,169,169
1561680000000,153,153,153
1561593600000,167,167,167
1561507200000,166,166,166
1561420800000,155,155,155
1561334400000,189,189,189
1561248000000,178,178,178
1561161600000,182,182,182
1561075200000,169,169,169
1560988800000,174,174,174
1560902400000,188,188,188
1560816000000,203,203,203
1560729600000,169,169,169
1560643200000,175,175,175
1560556800000,194,194,194
1560470400000,185,185,185
1560384000000,198,198,198
1560297600000,192,192,192
1560211200000,211,211,211
1560124800000,164,164,164
1560038400000,175,175,175
1559952000000,176,176,176
1559865600000,203,203,203
1559779200000,184,184,184
1559692800000,196,196,196
1559606400000,199,199,199
1559520000000,186,186,186
1559433600000,190,190,190
1559347200000,169,169,169
1559260800000,176,176,176
1559174400000,186,186,186
1559088000000,194,194,194
1559001600000,192,192,192
1558915200000,190,190,190
1558828800000,211,211,211
1558742400000,198,198,198
1558656000000,195,195,195
1558569600000,204,204,204
1558483200000,201,201,201
1558396800000,199,199,199
1558310400000,178,178,178
1558224000000,181,181,181
1558137600000,191,191,191
1558051200000,144,144,144
1557964800000,137,137,137
1557878400000,166,166,166
1557792000000,210,210,210
1557705600000,199,199,199
1557619200000,230,230,230
1557532800000,205,205,205
1557446400000,213,213,213
1557360000000,207,207,207
1557273600000,203,203,203
1557187200000,173,173,173
1557100800000,205,205,205
1557014400000,187,187,187
1556928000000,190,190,190
1556841600000,196,196,196
1556755200000,199,199,199
1556668800000,197,197,197
1556582400000,185,185,185
1556496000000,187,187,187
1556409600000,209,209,209
1556323200000,206,206,206
1556236800000,160,160,160
1556150400000,201,201,201
1556064000000,203,203,203
1555977600000,193,193,193
1555891200000,185,185,185
1555804800000,186,186,186
1555718400000,171,171,171
1555632000000,149,149,149
1555545600000,163,163,163
1555459200000,160,160,160
1555372800000,166,166,166
1555286400000,161,161,161
1555200000000,180,180,180
1555113600000,152,152,152
1555027200000,155,155,155
1554940800000,173,173,173
1554854400000,164,164,164
1554768000000,178,178,178
1554681600000,177,177,177
1554595200000,170,170,170
1554508800000,158,158,158
1554422400000,163,163,163
1554336000000,171,171,171
1554249600000,164,164,164
1554163200000,190,190,190
1554076800000,183,183,183
1553990400000,186,186,186
1553904000000,180,180,180
1553817600000,175,175,175
1553731200000,179,179,179
1553644800000,169,169,169
1553558400000,185,185,185
1553472000000,172,172,172
1553385600000,174,174,174
1553299200000,183,183,183
1553212800000,249,249,249
1553126400000,199,199,199
1553040000000,190,190,190
1552953600000,184,184,184
1552867200000,177,177,177
1552780800000,175,175,175
1552694400000,170,170,170
1552608000000,170,170,170
