txHash,id,image,class,chain,name,birthDate,bodyShape,sireId,sireClass,matronId,matronClass,stage,title,breedCount,level,hp,speed,skill,morale,from,to,timestamp,withPrice,withPriceUsd
0xcd7d096c09c20c29908934b27c31b6e0dfb272c2daa48188a4a013d47113d3c3,5349094,https://storage.googleapis.com/assets.axieinfinity.com/axies/5349094/axie/axie-full-transparent.png,Aquatic,ronin,Anti Terminator Aqua,1630445796,Normal,6406,Aquatic,11323,Aquatic,4,,3,1,44,57,35,28,0x8979561fa8e9d8b7952f212aa709d5ee46976c88,0x8613041fa0f4b2ad3f8dc07abe8ca8d7529ca4a5,1631608051,0.1181375,370.22668109375
0x66377c5b80936c39c60963789acc26f93067962d757e54664d6e4ca45b3fbcbf,5349094,https://storage.googleapis.com/assets.axieinfinity.com/axies/5349094/axie/axie-full-transparent.png,Aquatic,ronin,Anti Terminator Aqua,1630445796,Normal,6406,Aquatic,11323,Aquatic,4,,3,1,44,57,35,28,0x4049f44a6c3d5552c0be7a7e9f7e212941fe567b,0x8979561fa8e9d8b7952f212aa709d5ee46976c88,1631181390,0.14545313,455.8300939453125
0xb3366ac6ac0b9546d8bf0686a7951566d656ef0717f22aa07db3db5df0574c9d,4687521,https://storage.googleapis.com/assets.axieinfinity.com/axies/4687521/axie/axie-full-transparent.png,Reptile,ronin,Mid line wall,1629476966,Fuzzy,48453,Reptile,54656,Reptile,4,,3,1,55,39,31,39,0xc0042776eeec71d950ea1d5000ba9e21352e4dc9,0x7b809ee581afde7866c24a001ab11b28057d02c7,1631106670,0.1,313.38625
0x5fcf598796a53bd5b7cd3531c30db0e402f02f946254bb4fc187885c300bba4f,4911392,https://storage.googleapis.com/assets.axieinfinity.com/axies/4911392/axie/axie-full-transparent.png,Bug,ronin,Garish + Fish Snack! #1 PVP,1629808285,Normal,14403,Bug,14039,Bug,4,,3,1,41,31,35,57,0x565e308e3654b1bb6a06c357dfb0231aa8a3f65a,0x6efa0335d2e391cf66d8c86f16586defc16a59a5,1631041503,0.13949,437.142480125
0x9ce73d284c1dc8041ff96792aeb400cb826134937788d9462cdedb154c707751,4911392,https://storage.googleapis.com/assets.axieinfinity.com/axies/4911392/axie/axie-full-transparent.png,Bug,ronin,Garish + Fish Snack! #1 PVP,1629808285,Normal,14403,Bug,14039,Bug,4,,3,1,41,31,35,57,0x1073c7ef83d35aae538f106f690bf10af168881c,0x565e308e3654b1bb6a06c357dfb0231aa8a3f65a,1630377650,0.09847222,308.5984045138889
0x8a2c56e49d4b5bcc8f9fd67b9320f5906c3596b47afb830eea15f86cd071b3c3,5574436,https://storage.googleapis.com/assets.axieinfinity.com/axies/5574436/axie/axie-full-transparent.png,Dusk,ronin,d2,1630851687,BigYak,14313,Dusk,14336,Dusk,4,,5,1,55,48,27,34,0x6ddde0ff7ced75ad898089029d27e49ee5eceeed,0x890f1e72b260c0fec3f046db9b9b1e7450d54e58,1632346961,0.39949,1251.9467301250002
0xc4af8420b6123241244f1bf1ff8f3e58c782e9e4423a4126d06e52642914456f,5574436,https://storage.googleapis.com/assets.axieinfinity.com/axies/5574436/axie/axie-full-transparent.png,Dusk,ronin,d2,1630851687,BigYak,14313,Dusk,14336,Dusk,4,,5,1,55,48,27,34,0x898bf59a12feb67949fe036eb6a1975ab31ac9fb,0x6ddde0ff7ced75ad898089029d27e49ee5eceeed,1631717129,0.2811821,881.186034992284
0xb08e2c5f671a9886791f79a966c1042211b6881341ff3875a1e6c2525e00f689,6191689,https://storage.googleapis.com/assets.axieinfinity.com/axies/6191689/axie/axie-full-transparent.png,Dusk,ronin,Axie #6191689,1631775500,Normal,23889,Dusk,43105,Dusk,4,,5,1,57,39,27,41,0x93a5524cdff0c2d7e32e18ac04702b66e58dcefa,0xd961981f715e34d268e62011814b465d7f6e6ce2,1632239585,0.15762171,493.96473916883684
0xfd64e7e60f24ab72db2da8fb2eb34b9a82895f8c94eefa2e8b6c3cc063d3abf2,367884,https://storage.googleapis.com/assets.axieinfinity.com/axies/367884/axie/axie-full-transparent.png,Bug,ronin,Axie #367884,1621372578,Normal,6379,Bug,6226,Reptile,4,,3,1,47,42,35,40,0xdadd3195416af275b578651149826d34ed46b7e4,0x0c3ebce4bfe8d172efea45f9973a5492b2214e6c,1632414360,0.042,131.62222500000001
0x75ff5c13cc6c630cafa7a6c3d628bd5444b7ad16a98234abe24e0bf9fda3b105,367884,https://storage.googleapis.com/assets.axieinfinity.com/axies/367884/axie/axie-full-transparent.png,Bug,ronin,Axie #367884,1621372578,Normal,6379,Bug,6226,Reptile,4,,3,1,47,42,35,40,0x27ebafbab855c2eb41477b1dd56cab0e637c7670,0x1eb33eba3f0421e61e627a2e952c74301f05da45,1622081456,0.04440375,139.155246984375
